epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,30.8717,1.18887,3.27899,1.16431,0.00283,0.76923,0.08276,0.07309,1.00015,3.65912,0.84558,0.00032,0.00032,0.00032
2,59.1788,1.20468,2.0091,1.04222,0.00306,0.84615,0.08228,0.07102,1.25746,3.566,0.92554,0.00062733,0.00062733,0.00062733
3,88.877,1.01805,1.7226,1.00778,1,0.12238,0.19463,0.1515,1.07369,3.08271,0.89706,0.000901,0.000901,0.000901
4,122.577,1.13729,1.53753,1.03852,0.89161,0.07692,0.08419,0.05102,1.07151,3.39914,0.8868,0.00114101,0.00114101,0.00114101
5,152.53,1.14133,1.4453,1.02273,0.79739,0.30368,0.46534,0.31888,1.13756,2.63227,0.91405,0.00134736,0.00134736,0.00134736
6,179.367,1.17368,1.42422,1.06657,0.13122,0.30769,0.15132,0.09203,1.26811,2.79577,1.07216,0.001505,0.001505,0.001505
7,209.015,1.0399,1.30366,1.01455,0.48497,0.23077,0.27281,0.13486,1.30973,2.68232,1.13214,0.001406,0.001406,0.001406
8,231.871,1.07522,1.2684,1.00444,0.76602,0.75639,0.72952,0.51527,1.02035,1.74078,0.88521,0.001307,0.001307,0.001307
9,256.388,1.09635,1.23765,1.0579,0.56933,0.69231,0.59466,0.46281,0.91472,1.88097,0.88143,0.001208,0.001208,0.001208
10,282.811,1.02042,1.14218,0.9918,0.8982,0.84615,0.87054,0.65417,0.97615,1.50049,0.88976,0.001109,0.001109,0.001109
11,306.323,0.96341,1.35109,1.00802,0.97469,0.92308,0.93003,0.69725,1.01336,1.52322,0.85588,0.00101,0.00101,0.00101
12,328.986,0.99478,1.32068,0.99822,0.9881,0.92308,0.94357,0.69951,0.95534,1.32771,0.85575,0.000911,0.000911,0.000911
13,352.576,0.98067,1.20408,1.00983,0.9944,0.92308,0.95533,0.74502,0.85215,1.17106,0.85498,0.000812,0.000812,0.000812
14,376.811,0.92247,1.11309,0.96632,1,0.92063,0.96636,0.76795,0.83688,1.1517,0.84044,0.000713,0.000713,0.000713
15,401.79,0.87502,1.13179,0.95171,1,0.92081,0.96457,0.75881,0.80514,1.02015,0.8418,0.000614,0.000614,0.000614
16,429.771,0.81016,1.04483,0.95001,1,0.92294,0.96457,0.74518,0.80807,1.02886,0.82934,0.000515,0.000515,0.000515
17,455.422,0.79386,1.02602,0.92271,0.99848,0.92308,0.9614,0.76815,0.78563,0.99902,0.82585,0.000416,0.000416,0.000416
18,478.448,0.79945,1.01467,0.92408,0.99442,0.92308,0.9614,0.75505,0.76713,0.98844,0.82576,0.000317,0.000317,0.000317
19,501.234,0.76021,0.99305,0.89799,0.99434,0.92308,0.97289,0.78726,0.7069,0.91943,0.81662,0.000218,0.000218,0.000218
20,530.163,0.71726,0.93647,0.91941,0.99522,0.92308,0.97556,0.79695,0.70345,0.90076,0.81652,0.000119,0.000119,0.000119
