epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,132.585,0.88901,2.57723,1.24406,0.99302,1,0.995,0.9766,0.21088,0.51066,0.83234,4e-05,4e-05,4e-05
2,256.997,0.62281,0.94979,1.10572,0.66038,1,0.95693,0.89031,0.40352,4.47908,0.92753,9.67e-05,9.67e-05,9.67e-05
3,389.939,0.59612,0.91632,1.0362,1,0.43478,0.86374,0.7167,0.69668,10.2534,1.27305,0.00014944,0.00014944,0.00014944
4,520.522,0.58267,0.87355,1.04518,1,0.6087,0.87251,0.65489,0.6827,8.94022,1.25091,0.00019822,0.00019822,0.00019822
5,645.544,0.60866,0.7232,1.07676,0.90476,0.82609,0.90891,0.72311,0.60928,10.4349,1.12055,0.00024304,0.00024304,0.00024304
6,779.259,0.61563,0.73353,1.03868,1,0.34783,0.63158,0.51398,0.84474,18.8847,1.35449,0.0002839,0.0002839,0.0002839
7,906.391,0.63115,0.83388,1.08166,0.77273,0.73913,0.78524,0.45322,1.06889,16.4904,2.92455,0.0003208,0.0003208,0.0003208
8,1026.59,0.61784,0.67687,1.0281,0.57895,0.95652,0.65511,0.46163,0.79493,26.2823,2.28873,0.00035374,0.00035374,0.00035374
9,1154.37,0.63109,0.79677,1.0717,0.82353,0.6087,0.85356,0.63663,0.76583,11.8064,1.56729,0.00038272,0.00038272,0.00038272
10,1298.85,0.65683,0.8214,1.04857,1,0.43478,0.91925,0.68416,0.83079,7.92507,1.46828,0.00040774,0.00040774,0.00040774
11,1423.12,0.6416,0.87224,1.0589,0.9375,0.65217,0.76305,0.53627,1.15066,10.4203,2.03411,0.0004288,0.0004288,0.0004288
12,1550.08,0.63612,0.628,1.03993,0.7,0.6087,0.78176,0.53635,0.88678,12.0968,1.55585,0.0004459,0.0004459,0.0004459
13,1681.82,0.5856,0.61339,0.98453,0.07921,0.69565,0.09241,0.06716,0.80701,51.0811,1.48073,0.00045904,0.00045904,0.00045904
14,1812.59,0.68994,0.73846,1.04597,0.90476,0.82609,0.92668,0.73461,0.71392,9.25249,1.65231,0.00046822,0.00046822,0.00046822
15,1939.54,0.63868,0.60896,1.05624,0.8125,0.56522,0.87887,0.71451,0.63623,7.48079,1.34618,0.00047344,0.00047344,0.00047344
16,2067.67,0.63865,0.63963,1.07772,0.01608,0.86957,0.05874,0.05628,0.72071,305.746,1.44489,0.0004747,0.0004747,0.0004747
17,2199.18,0.6168,0.61235,1.00917,0.01517,0.86957,0.05922,0.0506,0.91861,344.131,1.61717,0.000472,0.000472,0.000472
18,2335.57,0.59858,0.53568,1.02113,0.01932,0.78261,0.02517,0.02037,0.90685,128.593,1.69917,0.00046534,0.00046534,0.00046534
19,2465.04,0.57373,0.51873,1.02404,0.02516,0.91304,0.03334,0.02633,0.86194,70.1918,1.53587,0.00045472,0.00045472,0.00045472
20,2595.23,0.6447,0.57521,1.07162,0.0286,0.6087,0.05464,0.04649,0.76805,43.7625,1.41328,0.00044014,0.00044014,0.00044014
21,2721.13,0.5413,0.60867,0.98093,0.10861,0.91304,0.58265,0.49942,0.59396,11.8258,1.3013,0.0004216,0.0004216,0.0004216
22,2845.87,0.54698,0.58385,1.01005,0.44001,0.95652,0.92777,0.73278,0.61,2.77452,1.34296,0.0003991,0.0003991,0.0003991
23,2967.15,0.5025,0.59306,0.99333,1,0.99487,0.995,0.78036,0.61802,1.48567,1.48506,0.00037264,0.00037264,0.00037264
24,3094.86,0.50774,0.54709,0.98349,0.97925,1,0.995,0.72563,0.69382,2.58015,1.99905,0.00034222,0.00034222,0.00034222
25,3217.45,0.55101,0.57538,1.03536,0.8448,0.94699,0.96926,0.66349,0.64929,2.13285,1.43745,0.00030784,0.00030784,0.00030784
26,3342.04,0.45883,0.48927,0.95603,0.9082,0.91304,0.95943,0.71028,0.61943,1.39866,1.38564,0.0002695,0.0002695,0.0002695
27,3468.21,0.50078,0.52237,1.01881,0.99439,1,0.995,0.82379,0.53957,0.85374,1.21583,0.0002272,0.0002272,0.0002272
28,3595.72,0.45817,0.49571,0.96799,0.99567,1,0.995,0.85181,0.51482,0.71507,1.16232,0.00018094,0.00018094,0.00018094
29,3719.05,0.44588,0.49332,0.95622,0.99567,1,0.995,0.85181,0.51482,0.71507,1.16232,0.00013072,0.00013072,0.00013072
30,3845.81,0.42901,0.43611,0.93392,0.99421,1,0.995,0.84365,0.50162,0.60797,1.12101,7.654e-05,7.654e-05,7.654e-05
