epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,38.5243,1.26675,3.94802,1.37454,0.00056,0.15385,0.00342,0.00219,1.28545,4.9855,1.5122,4e-05,4e-05,4e-05
2,74.9685,1.10016,3.81741,1.23545,0.00278,0.76923,0.07837,0.07731,0.69524,4.16117,0.92002,9.604e-05,9.604e-05,9.604e-05
3,103.325,0.95858,3.44937,1.14043,0.00333,0.92308,0.08692,0.07647,0.79032,3.98133,0.86303,0.000147328,0.000147328,0.000147328
4,128.173,0.88412,2.7975,1.04093,0.00361,1,0.10511,0.05285,0.78122,3.84433,0.83333,0.000193864,0.000193864,0.000193864
5,155.461,0.90884,1.94073,1.00448,0.00361,1,0.23779,0.16502,0.68779,3.62937,0.83535,0.000235648,0.000235648,0.000235648
6,182.605,0.87509,2.23068,1.03424,0.00361,1,0.27112,0.17074,0.74286,3.72095,0.84825,0.00027268,0.00027268,0.00027268
7,210.588,0.85636,1.79306,1.01095,0.00361,1,0.16038,0.12157,0.85635,3.87537,0.86937,0.00030496,0.00030496,0.00030496
8,238.192,0.86867,1.93602,0.97836,0.00361,1,0.11546,0.09718,0.79825,3.8233,0.87644,0.000332488,0.000332488,0.000332488
9,265.37,0.87365,1.87253,1.00778,0.00361,1,0.13627,0.09762,0.74139,3.81827,0.85181,0.000355264,0.000355264,0.000355264
10,290.264,0.97781,1.89256,0.98307,0.00361,1,0.22141,0.16063,0.69572,3.71362,0.84288,0.000373288,0.000373288,0.000373288
11,315.608,0.80548,1.48723,0.94938,0.00361,1,0.6598,0.53497,0.6952,3.55902,0.82401,0.00038656,0.00038656,0.00038656
12,347.508,0.81515,1.48787,0.96342,0.00361,1,0.71073,0.57073,0.77361,3.43026,0.83504,0.00039508,0.00039508,0.00039508
13,378.145,0.87357,1.70899,1.0581,0.8787,0.30769,0.62232,0.45563,0.87224,3.46426,0.8809,0.000398848,0.000398848,0.000398848
14,408.148,0.80582,1.43112,0.99164,1,0.14997,0.46355,0.3602,0.82283,3.51068,0.87645,0.000397864,0.000397864,0.000397864
15,440.308,0.81664,1.67061,1.00276,0.00472,0.61538,0.30329,0.24742,0.84545,3.59475,0.87733,0.000392128,0.000392128,0.000392128
16,466.721,0.73959,1.79196,1.00673,0.00361,1,0.30951,0.25491,0.79032,3.59996,0.87182,0.00038164,0.00038164,0.00038164
17,495.481,0.76882,1.80636,0.95038,0.0058,0.80246,0.27341,0.25837,0.72655,3.60818,0.86025,0.0003664,0.0003664,0.0003664
18,524.28,0.75258,1.69871,1.00094,0.40522,0.46154,0.41751,0.37257,0.68711,3.51137,0.84323,0.000346408,0.000346408,0.000346408
19,553.054,0.68201,1.70815,0.92941,0.8662,0.23077,0.54914,0.50071,0.64882,3.43546,0.83391,0.000321664,0.000321664,0.000321664
20,582.955,0.73338,1.62777,1.00937,1,0.24245,0.69643,0.61379,0.6649,3.33384,0.83485,0.000292168,0.000292168,0.000292168
21,611.885,0.71773,1.70735,0.9086,1,0.30688,0.80859,0.68845,0.67162,3.21725,0.84022,0.00025792,0.00025792,0.00025792
22,638.033,0.71809,1.52572,0.93903,1,0.38361,0.84605,0.72037,0.67048,3.12334,0.84398,0.00021892,0.00021892,0.00021892
23,664.355,0.68129,1.57371,0.93706,1,0.55868,0.84604,0.72036,0.70813,3.05246,0.84102,0.000175168,0.000175168,0.000175168
24,690.666,0.69894,1.51738,0.9829,1,0.59562,0.846,0.7125,0.72041,2.96443,0.83459,0.000126664,0.000126664,0.000126664
25,717.029,0.62097,1.50645,0.92441,1,0.63541,0.85237,0.71754,0.72081,2.88467,0.83133,7.3408e-05,7.3408e-05,7.3408e-05
