epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.18787,0.77781,2.79844,1.16594,0.00333,1,0.67582,0.62407,0.25685,3.1454,0.90168,0.00016,0.00016,0.00016
2,16.2149,0.72732,1.85818,1.09149,1,0.75918,0.97214,0.92437,0.38759,2.52917,0.91616,0.00032878,0.00032878,0.00032878
3,23.9755,0.74132,1.59059,1.11234,1,0.87639,0.995,0.92507,0.40322,2.30589,0.91483,0.00048568,0.00048568,0.00048568
4,31.8898,0.67477,1.52393,1.06786,1,0.81776,0.97214,0.87119,0.55746,2.14888,0.95231,0.0006307,0.0006307,0.0006307
5,39.7182,0.76202,1.60394,1.079,0.97951,1,0.995,0.89605,0.52685,1.85312,0.93096,0.00076384,0.00076384,0.00076384
6,47.526,0.77237,1.42505,1.1115,1,0.99218,0.995,0.83163,0.5029,1.63876,0.95091,0.0008851,0.0008851,0.0008851
7,55.2741,0.712,1.32352,1.01458,1,0.98995,0.995,0.88285,0.52724,1.76949,0.95686,0.00099448,0.00099448,0.00099448
8,63.0388,0.83445,1.40158,1.09177,1,0.99381,0.995,0.89459,0.43752,1.7832,0.91192,0.00109198,0.00109198,0.00109198
9,70.8181,0.7205,1.14171,1.01691,1,0.98959,0.995,0.94525,0.4072,1.64993,0.90843,0.0011776,0.0011776,0.0011776
10,78.592,0.73407,1.27545,1.08065,0.98867,0.83333,0.955,0.88788,0.43605,1.79593,0.91695,0.00125134,0.00125134,0.00125134
11,86.3011,0.72951,1.19022,1.00837,0.84826,1,0.97214,0.8569,0.56874,1.49914,0.96597,0.0013132,0.0013132,0.0013132
12,94.0185,0.78928,1.24238,1.0748,0.98923,1,0.995,0.87698,0.57422,1.54925,0.96993,0.001274,0.001274,0.001274
13,101.805,0.7204,1.1136,1.06035,0.99328,1,0.995,0.87952,0.59968,1.37113,0.96403,0.001208,0.001208,0.001208
14,109.621,0.71014,1.02217,1.05602,0.99152,1,0.995,0.87952,0.54284,1.24412,0.95116,0.001142,0.001142,0.001142
15,117.336,0.67394,1.00704,1.01181,0.99151,1,0.995,0.85914,0.49587,1.29362,0.93194,0.001076,0.001076,0.001076
16,125.561,0.69012,1.11135,1.04287,0.99164,1,0.995,0.91587,0.44564,1.23654,0.92849,0.00101,0.00101,0.00101
