epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.07607,0.76476,2.77243,1.15675,0.00667,1,0.31629,0.13909,1.02898,3.40163,1.27246,0,0,0
2,6.30812,1.65718,2.87799,1.59941,0.00667,1,0.3309,0.14913,0.99105,3.38488,1.26866,1.901e-05,1.901e-05,1.901e-05
3,8.911,0.89959,2.73163,1.18344,0.00667,1,0.3496,0.13601,0.915,3.2887,1.26232,3.604e-05,3.604e-05,3.604e-05
4,11.3585,0.96578,2.65529,1.23966,0.00667,1,0.28875,0.12182,0.90781,3.18348,1.23206,5.109e-05,5.109e-05,5.109e-05
5,13.6645,1.02778,2.55025,1.29487,0.00667,1,0.42091,0.18518,0.90574,2.9974,1.19363,6.416e-05,6.416e-05,6.416e-05
6,16.0785,0.86502,2.42724,1.20163,0.00667,1,0.53882,0.2623,0.85636,2.85724,1.16378,7.525e-05,7.525e-05,7.525e-05
7,17.8366,1.57043,2.86809,1.62642,0.00667,1,0.66333,0.39169,0.86813,2.80563,1.14907,8.436e-05,8.436e-05,8.436e-05
8,19.7194,0.86769,2.29574,1.08728,0.00667,1,0.88786,0.51344,0.91984,2.78392,1.15813,9.149e-05,9.149e-05,9.149e-05
9,21.7916,0.56431,2.05907,1.00292,0.00667,1,0.8075,0.41168,1.01081,2.76481,1.15975,9.664e-05,9.664e-05,9.664e-05
10,24.4452,0.78023,1.91098,1.12491,0.00667,1,0.68375,0.35398,1.04199,2.74725,1.15471,9.981e-05,9.981e-05,9.981e-05
11,26.268,0.71571,1.51789,1.04053,0.00667,1,0.65875,0.39139,1.00946,2.70095,1.1692,0.000101,0.000101,0.000101
12,28.0863,0.94022,1.8132,1.35672,0.00667,1,0.60611,0.4356,1.01692,2.68971,1.19409,0.00010021,0.00010021,0.00010021
13,30.2881,1.06601,1.63183,1.45537,0.00667,1,0.62,0.46273,0.99539,2.62293,1.25226,9.744e-05,9.744e-05,9.744e-05
14,32.6326,0.89104,1.67411,1.20385,0.00667,1,0.745,0.55805,1.03774,2.54359,1.28441,9.269e-05,9.269e-05,9.269e-05
15,35.2565,0.68069,1.27852,1.00546,0.04602,1,0.67907,0.51196,1.08708,2.44653,1.35691,8.596e-05,8.596e-05,8.596e-05
16,37.5516,0.68825,1.35713,1.02098,0.24277,1,0.67907,0.47938,1.04289,2.38969,1.42322,7.725e-05,7.725e-05,7.725e-05
17,39.8388,0.69462,1.24113,1.02375,0.4372,0.97391,0.73111,0.51065,1.04475,2.41862,1.41056,6.656e-05,6.656e-05,6.656e-05
18,41.9279,0.79745,1.41901,1.19882,0.4372,0.97391,0.73111,0.51065,1.04475,2.41862,1.41056,5.389e-05,5.389e-05,5.389e-05
19,44.4801,0.61895,1.24771,1.08476,0.40145,0.75,0.73111,0.50464,1.01433,2.40619,1.36601,3.924e-05,3.924e-05,3.924e-05
20,46.6733,0.53669,1.20979,0.99196,0.40145,0.75,0.73111,0.50464,1.01433,2.40619,1.36601,2.261e-05,2.261e-05,2.261e-05
