epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.77653,0.76476,2.77243,1.15675,0.00667,1,0.31629,0.13909,1.02898,3.40163,1.27246,0,0,0
2,3.99185,1.65718,2.87799,1.59941,0.00667,1,0.33135,0.14941,0.98991,3.38407,1.2685,1.934e-05,1.934e-05,1.934e-05
3,6.66708,0.89815,2.73068,1.18287,0.00667,1,0.34998,0.13627,0.91049,3.28428,1.26084,3.736e-05,3.736e-05,3.736e-05
4,9.0998,0.96649,2.65006,1.2397,0.00667,1,0.29135,0.13415,0.91491,3.15054,1.22872,5.406e-05,5.406e-05,5.406e-05
5,11.5368,1.02339,2.54386,1.29314,0.00667,1,0.42524,0.19302,0.90384,2.97618,1.18586,6.944e-05,6.944e-05,6.944e-05
6,14.0759,0.86021,2.40838,1.19423,0.00667,1,0.58,0.2832,0.85033,2.84876,1.15671,8.35e-05,8.35e-05,8.35e-05
7,16.5308,1.52305,2.83654,1.59801,0.00667,1,0.945,0.53877,0.8604,2.79602,1.1515,9.624e-05,9.624e-05,9.624e-05
8,18.9693,0.85569,2.24289,1.0764,0.00667,1,0.91167,0.47777,0.89757,2.7897,1.14105,0.00010766,0.00010766,0.00010766
9,21.0693,0.57204,1.99351,1.0016,0.00667,1,0.88786,0.50373,0.96981,2.7948,1.14523,0.00011776,0.00011776,0.00011776
10,23.3796,0.76598,1.81769,1.10988,0.00667,1,0.78786,0.41493,1.05001,2.73852,1.16302,0.00012654,0.00012654,0.00012654
11,26.124,0.65522,1.80319,1.00901,0.00667,1,0.77,0.41096,1.20434,2.68864,1.16611,0.000134,0.000134,0.000134
12,28.7758,0.74926,1.69576,1.01367,0.00667,1,0.70452,0.47431,1.18819,2.6003,1.1714,0.00014014,0.00014014,0.00014014
13,31.0718,0.67846,1.43952,1.01941,0.00667,1,0.68667,0.46975,1.14781,2.53753,1.17008,0.00014496,0.00014496,0.00014496
14,33.3979,0.8171,1.45246,1.08233,0.00667,1,0.70452,0.52641,1.12319,2.49119,1.21548,0.00014846,0.00014846,0.00014846
15,35.9569,0.80459,1.50342,1.10649,0.00667,1,0.67,0.49593,0.9521,2.39783,1.23276,0.00015064,0.00015064,0.00015064
16,38.1829,0.72491,1.693,1.08281,0.33898,1,0.67,0.42943,0.96182,2.28698,1.2713,0.0001515,0.0001515,0.0001515
17,40.3198,0.63747,1.25586,0.94314,1,0.48534,0.87,0.47968,1.17329,2.30402,1.33378,0.00015104,0.00015104,0.00015104
18,41.9144,0.55112,1.11149,0.95146,1,0.48534,0.87,0.47968,1.17329,2.30402,1.33378,0.00014926,0.00014926,0.00014926
19,43.6651,0.78717,1.44063,1.05288,1,0.47612,0.91167,0.48974,1.21799,2.24766,1.34911,0.00014616,0.00014616,0.00014616
20,45.7352,0.69783,1.20607,0.99706,1,0.47612,0.91167,0.48974,1.21799,2.24766,1.34911,0.00014174,0.00014174,0.00014174
21,47.9713,0.70938,1.80268,1.05556,0.79943,1,0.845,0.55918,1.21724,2.24248,1.34965,0.000136,0.000136,0.000136
22,50.1459,0.87716,1.68533,1.21271,0.79943,1,0.845,0.55918,1.21724,2.24248,1.34965,0.00012894,0.00012894,0.00012894
23,52.3813,0.81684,1.71244,1.01316,0.73863,1,0.845,0.5895,1.14955,2.28632,1.36121,0.00012056,0.00012056,0.00012056
24,54.5057,0.87534,1.67997,1.21154,0.73863,1,0.845,0.5895,1.14955,2.28632,1.36121,0.00011086,0.00011086,0.00011086
25,56.5388,0.64421,1.35959,1.02271,0.68262,1,0.845,0.58279,1.15561,2.26455,1.34253,9.984e-05,9.984e-05,9.984e-05
26,58.0497,0.75723,1.40686,1.02142,0.68262,1,0.845,0.58279,1.15561,2.26455,1.34253,8.75e-05,8.75e-05,8.75e-05
27,59.7143,0.59479,1.25859,0.94845,0.62726,1,0.845,0.5773,1.11439,2.27219,1.33793,7.384e-05,7.384e-05,7.384e-05
28,62.1886,0.54612,1.19177,0.96977,0.62726,1,0.845,0.5773,1.11439,2.27219,1.33793,5.886e-05,5.886e-05,5.886e-05
29,65.0365,0.55733,1.24268,0.96907,0.65865,1,0.845,0.61032,1.05726,2.25168,1.31287,4.256e-05,4.256e-05,4.256e-05
30,67.3215,0.78503,1.18468,0.9658,0.65865,1,0.845,0.61032,1.05726,2.25168,1.31287,2.494e-05,2.494e-05,2.494e-05
