epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.6761,1.00056,3.7094,1.21764,0.00333,1,0.32659,0.21003,0.69441,3.26508,1.45517,2e-05,2e-05,2e-05
2,26.9314,1.02057,3.82252,1.35725,0.00333,1,0.51146,0.38726,0.53248,3.21586,1.33882,5.802e-05,5.802e-05,5.802e-05
3,42.4256,0.86485,3.30901,1.01944,0.00333,1,0.57,0.45298,0.53617,3.13764,1.32125,9.34e-05,9.34e-05,9.34e-05
4,52.6231,0.33513,5.37349,0.50058,0.00333,1,0.64997,0.40396,0.63812,3.18791,1.41444,0.00012614,0.00012614,0.00012614
5,59.7144,0.48915,3.17916,0.80879,0.00333,1,0.43189,0.27978,0.71857,3.26377,1.4425,0.00015624,0.00015624,0.00015624
6,67.2699,0.52891,2.54281,0.82206,0.00333,1,0.32961,0.23871,0.67972,3.22184,1.42526,0.0001837,0.0001837,0.0001837
7,74.4798,0.55349,2.09033,0.8606,0.00333,1,0.33091,0.23233,0.70076,3.21433,1.34891,0.00020852,0.00020852,0.00020852
8,81.7621,0.58289,1.65998,0.87825,0.00333,1,0.35406,0.25199,0.7468,3.19215,1.44851,0.0002307,0.0002307,0.0002307
9,89.161,0.46937,1.83444,0.83174,0.0059,1,0.36605,0.24949,0.74605,3.19355,1.46979,0.00025024,0.00025024,0.00025024
10,95.9399,0.58686,1.19701,0.88622,0.00584,1,0.4572,0.27043,0.71313,3.16661,1.43752,0.00026714,0.00026714,0.00026714
11,102.504,0.61752,1.41583,0.97651,0.00574,1,0.52961,0.35853,0.62992,3.1384,1.44078,0.0002814,0.0002814,0.0002814
12,110.688,0.555,1.42338,0.89028,0.00333,1,0.60664,0.45012,0.61472,3.08483,1.32396,0.00029302,0.00029302,0.00029302
13,119.667,0.56693,1.7394,0.8235,0.00333,1,0.62126,0.46945,0.60912,3.06597,1.3056,0.000302,0.000302,0.000302
14,128.503,0.69245,1.62032,1.02766,0.00333,1,0.60755,0.42509,0.5429,3.01218,1.27931,0.00030834,0.00030834,0.00030834
15,135.044,0.41607,1.3174,0.80631,0.00333,1,0.66539,0.45569,0.47911,3.0352,1.24389,0.00031204,0.00031204,0.00031204
16,143.41,0.61474,1.64117,0.74076,0.00333,1,0.75233,0.5882,0.45811,3.05577,1.20439,0.0003131,0.0003131,0.0003131
17,151.087,0.49037,1.81649,0.84129,0.00333,1,0.86985,0.6806,0.48176,3.05406,1.20653,0.00031152,0.00031152,0.00031152
18,159.637,0.63916,1.40786,0.88431,0.51709,0.85714,0.86038,0.62316,0.54531,3.07498,1.21606,0.0003073,0.0003073,0.0003073
19,167.385,0.4935,1.24936,0.82146,1,0.23937,0.86136,0.59161,0.55845,3.08967,1.21665,0.00030044,0.00030044,0.00030044
20,175.994,0.48793,1.53631,0.93622,1,0.24571,0.84485,0.59517,0.53658,3.02987,1.19825,0.00029094,0.00029094,0.00029094
21,183.191,0.44683,1.60487,0.8401,1,0.26128,0.86267,0.63273,0.52105,2.94141,1.12116,0.0002788,0.0002788,0.0002788
22,188.988,0.51394,1.56618,0.90193,1,0.2662,0.90167,0.67981,0.52416,2.86231,1.15355,0.00026402,0.00026402,0.00026402
23,195.537,0.47252,1.65076,0.85322,1,0.2665,0.90409,0.66808,0.56518,2.87051,1.12797,0.0002466,0.0002466,0.0002466
24,202.459,0.53019,1.62493,0.83929,1,0.27534,0.94389,0.72302,0.5552,2.85426,1.11972,0.00022654,0.00022654,0.00022654
25,209.662,0.37543,1.57524,0.94831,1,0.28108,0.93278,0.72639,0.55872,2.85731,1.10012,0.00020384,0.00020384,0.00020384
26,217.018,0.35782,1.6136,0.89617,1,0.29405,0.995,0.74167,0.54585,2.88009,1.07647,0.0001785,0.0001785,0.0001785
27,221.904,0.40534,1.80577,0.80285,1,0.31124,0.995,0.75374,0.5603,2.8578,1.07516,0.00015052,0.00015052,0.00015052
28,226.636,0.57149,1.51793,0.82438,1,0.31124,0.995,0.75374,0.5603,2.8578,1.07516,0.0001199,0.0001199,0.0001199
29,231.156,0.36119,1.53114,0.82494,1,0.33579,0.995,0.73138,0.54866,2.81592,1.05772,8.664e-05,8.664e-05,8.664e-05
30,235.038,0.33861,1.50361,0.91194,1,0.34702,0.995,0.76334,0.54976,2.77845,1.06529,5.074e-05,5.074e-05,5.074e-05
