epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.0589,1.00056,3.7094,1.21764,0.00333,1,0.32659,0.21003,0.69441,3.26508,1.45517,2e-05,2e-05,2e-05
2,28.5661,1.02134,3.82322,1.35779,0.00333,1,0.51146,0.38726,0.53009,3.2202,1.3445,5.703e-05,5.703e-05,5.703e-05
3,41.9616,0.87726,3.30378,1.02276,0.00333,1,0.57,0.44211,0.53236,3.14279,1.32549,9.01e-05,9.01e-05,9.01e-05
4,51.8136,0.34202,5.3766,0.5039,0.00333,1,0.507,0.39457,0.62798,3.20226,1.40349,0.00011921,0.00011921,0.00011921
5,59.1813,0.49496,3.19229,0.80945,0.00333,1,0.44451,0.28002,0.69763,3.25687,1.41992,0.00014436,0.00014436,0.00014436
6,66.2312,0.5101,2.57121,0.81752,0.00333,1,0.3312,0.24092,0.65278,3.21782,1.41017,0.00016555,0.00016555,0.00016555
7,73.6986,0.52627,2.10413,0.85794,0.00333,1,0.30448,0.2159,0.61281,3.23584,1.35847,0.00018278,0.00018278,0.00018278
8,80.7142,0.58899,1.75745,0.88132,0.00333,1,0.39898,0.25115,0.63545,3.19481,1.35806,0.00019605,0.00019605,0.00019605
9,88.8737,0.54927,1.79098,0.83732,0.00333,1,0.45129,0.28519,0.69118,3.17625,1.40112,0.00020536,0.00020536,0.00020536
10,96.3057,0.55221,1.24595,0.87565,0.00333,1,0.61411,0.38994,0.66027,3.15937,1.36758,0.00021071,0.00021071,0.00021071
11,104.421,0.5891,2.06546,0.86548,0.00333,1,0.67554,0.39491,0.63636,3.13915,1.32455,0.0002121,0.0002121,0.0002121
12,112.948,1.00553,2.40389,0.98002,0.00333,1,0.68425,0.37487,0.58568,3.11075,1.27927,0.00020953,0.00020953,0.00020953
13,120.86,1.09251,3.30521,1.59449,0.00333,1,0.69344,0.39653,0.5117,3.10003,1.18381,0.000203,0.000203,0.000203
14,128.372,0.49636,1.95291,0.8905,0.00333,1,0.6838,0.39521,0.53643,3.12824,1.14893,0.00019251,0.00019251,0.00019251
15,136.467,0.97133,2.99954,1.84649,0.00333,1,0.61088,0.34691,0.63318,3.16803,1.18472,0.00017806,0.00017806,0.00017806
16,144.439,0.49437,1.95102,0.79677,0.00333,1,0.59247,0.32995,0.61477,3.1775,1.18251,0.00015965,0.00015965,0.00015965
17,151.8,0.41223,1.74039,0.86722,0.00333,1,0.66511,0.39469,0.58709,3.12095,1.13674,0.00013728,0.00013728,0.00013728
18,159.775,0.57028,1.71744,0.78407,0.00333,1,0.6872,0.46409,0.56028,3.11737,1.11102,0.00011095,0.00011095,0.00011095
19,168.704,0.37297,1.92171,0.83348,0.00333,1,0.70467,0.47426,0.52835,3.07986,1.07033,8.066e-05,8.066e-05,8.066e-05
20,176.917,0.64873,1.78783,0.83339,0.00333,1,0.68678,0.50532,0.50789,3.05599,1.05888,4.641e-05,4.641e-05,4.641e-05
